payment_method_Mailed check,paperless_billing_Yes,senior_citizen,online_security_Yes,payment_method_Electronic check,payment_method_Credit card (automatic),tech_support_Yes,gender_Male,online_backup_Yes,type_Two year,dependents_Yes,streaming_movies_Yes,total_charges,partner_Yes,monthly_charges,type_One year,churn
False,True,0,False,True,False,False,True,True,False,False,True,498.7231732818206,False,85.27063809163197,False,1
False,False,0,False,False,True,False,False,False,False,True,False,800.3,True,24.15,True,0
True,False,0,False,False,False,False,False,False,True,True,False,20.35,True,20.35,False,0
False,False,1,False,False,True,False,False,False,True,False,False,1275.6,True,25.1,False,0
False,True,1,True,True,False,True,True,True,True,False,True,7171.7,False,105.05,False,0
False,True,0,False,True,True,False,True,True,False,False,True,451.2372615139074,False,93.58405999476912,False,1
False,True,0,False,True,False,False,True,False,False,False,False,145.6220120857377,False,79.98600604286885,False,1
False,True,0,False,True,True,True,True,False,False,False,False,293.39260947405546,False,31.790995285953194,False,1
False,True,0,False,True,False,False,True,False,False,False,False,144.31262151331515,False,79.92030765738212,False,1
False,False,0,True,False,True,True,False,True,True,True,False,4620.4,True,81.25,False,0
True,True,0,False,False,False,False,False,False,False,False,False,20.15,False,20.15,False,1
False,True,0,False,True,False,False,True,False,False,True,False,415.05,True,51.05,False,1
False,True,0,False,False,False,True,False,True,True,False,True,6794.75,True,105.4,False,0
False,False,1,False,False,False,False,False,True,False,False,True,2191.15,True,88.4,False,0
True,False,0,False,False,False,False,False,False,False,False,False,44.4,False,19.3,False,0
False,True,0,False,True,False,False,True,False,False,False,False,324.6,False,69.75,False,1
False,True,0,True,True,False,False,True,False,False,False,True,6300.15,False,106.45,False,0
False,True,0,False,False,True,False,False,False,False,True,False,1497.9,True,24.5,True,0
False,True,0,False,True,False,False,False,False,False,True,False,506.9,True,69.0,False,1
False,True,0,False,False,True,False,False,False,True,True,False,3842.6,True,69.05,False,0
False,True,0,False,True,True,False,True,True,False,True,True,2709.3444659935567,True,85.92309787935771,False,1
False,True,0,False,False,False,True,True,False,True,True,True,4994.159811478672,True,95.69987577184509,True,1
False,True,0,True,False,True,True,True,True,True,False,True,5760.65,False,108.0,False,0
False,True,0,False,True,False,False,True,False,False,False,True,701.3,False,94.1,False,0
False,False,0,False,False,False,True,False,True,False,False,False,1517.5,False,54.65,False,0
True,True,0,False,True,False,False,False,False,False,False,False,59.06978239928599,False,24.121446404746045,False,1
False,True,0,False,True,False,False,True,True,False,True,True,2440.362710903456,False,101.11767403098969,False,1
False,True,0,False,True,False,False,True,False,False,True,False,471.0116549273027,False,41.72143820355429,True,1
False,True,1,False,True,False,False,True,True,False,False,True,2997.45,True,50.25,False,0
False,True,1,False,False,False,False,False,True,False,False,True,4287.2,False,89.85,True,0
False,False,0,True,True,False,False,False,True,False,False,False,165.2,False,55.35,False,1
False,False,0,True,True,False,False,True,False,False,False,True,2731.0,False,67.45,False,0
False,True,0,False,True,False,False,True,False,False,False,True,173.9527460372831,False,44.854260614951954,False,1
False,True,1,False,False,False,False,False,True,False,False,False,3969.35,False,85.2,False,1
False,True,0,False,True,False,False,True,True,False,False,True,3623.9263349248868,False,101.68754969139404,True,1
True,True,0,False,True,False,False,True,False,False,False,False,96.39881950337353,True,24.306131874106086,False,1
True,True,0,False,False,False,False,True,False,False,False,False,74.49172660075303,False,74.49172660075303,False,1
False,False,1,False,False,False,True,True,True,True,False,False,2754.0,False,59.6,False,0
True,True,0,False,True,False,True,False,False,False,False,False,415.2104492852042,False,64.66077781411816,False,1
False,True,0,False,True,False,False,True,False,False,False,True,346.4,False,70.05,False,1
False,False,0,True,False,False,True,False,False,True,True,False,4758.8,True,66.85,False,0
False,False,0,False,False,False,False,False,True,False,False,False,29.95,False,29.95,False,1
False,True,0,False,True,False,False,True,False,False,False,False,209.50870296910884,True,72.0943977434344,False,1
False,False,0,True,False,False,True,False,True,True,True,True,5963.95,True,91.55,False,0
False,False,1,True,True,False,True,False,False,False,True,False,4154.55,True,76.25,True,0
False,True,0,False,True,False,False,False,False,False,True,False,1312.15,False,81.0,False,1
False,True,0,False,False,True,False,True,False,False,False,False,356.0147046469117,False,75.82501810202706,False,1
False,False,0,False,False,False,False,True,False,True,False,False,943.0,False,20.45,False,0
False,True,0,False,True,False,False,False,False,False,True,False,5685.8,True,83.0,True,1
False,True,0,False,True,False,False,True,False,False,False,True,704.6588749106718,True,100.72739817682141,False,1
False,True,0,True,True,False,True,False,True,False,False,True,2348.45,False,54.75,True,0
False,False,0,False,True,False,False,False,False,False,False,False,84.4,False,45.55,False,0
False,True,0,True,True,False,False,False,False,False,False,True,1588.7108637380782,True,86.96931907326491,False,1
False,True,0,False,True,False,False,True,True,False,True,True,365.6049923810754,False,98.23784190435809,False,1
False,True,0,False,True,False,False,True,False,False,False,False,79.76184791277639,False,79.76184791277639,False,1
False,True,0,False,True,False,False,False,False,False,False,False,151.65,False,70.7,False,1
False,True,0,False,True,False,False,True,False,False,False,True,79.36894374939808,False,79.36894374939808,False,1
False,True,1,False,True,True,False,True,True,False,False,True,918.7952740881823,False,100.24370275926083,False,1
False,False,0,False,False,False,True,True,True,True,True,True,4543.95,True,76.95,False,0
False,True,0,False,False,True,False,False,False,True,False,False,1718.35,True,24.95,False,0
False,True,0,False,False,False,False,False,False,False,False,False,1327.4,True,20.85,True,0
False,True,0,False,True,False,False,True,False,False,False,True,2939.8,True,93.8,True,0
False,True,0,True,False,False,True,True,True,True,False,False,3789.2,True,56.6,False,0
False,True,0,False,True,False,False,True,False,False,False,False,414.771797583107,False,78.53161989194236,False,1
True,True,0,False,True,False,True,True,False,False,True,False,219.68212681476197,False,47.34524879015868,False,1
False,True,0,False,False,True,False,False,False,False,False,False,266.9,False,70.05,False,1
True,False,0,False,False,False,False,False,False,False,False,False,109.2,False,20.0,False,0
False,True,0,True,True,False,False,True,True,False,True,True,6260.276046922219,True,103.9483394041013,False,1
False,False,0,False,False,True,False,True,False,False,False,False,457.3,False,19.8,True,0
True,True,1,True,False,False,True,False,True,False,False,False,1381.8,True,63.55,False,0
False,False,0,True,False,True,True,False,True,False,True,True,3326.2,True,79.9,False,1
True,True,0,False,False,False,False,True,False,False,False,False,20.1,False,20.1,False,1
True,False,0,False,False,False,False,True,False,True,True,False,711.9,True,21.25,False,0
True,True,0,False,False,False,False,True,True,False,False,False,130.1,False,49.9,False,1
False,True,0,True,False,False,True,True,True,False,False,True,2203.7,False,108.2,False,0
False,True,0,False,False,False,True,True,False,False,False,True,2243.9,False,75.35,True,0
True,True,0,False,True,False,False,False,False,False,False,False,152.5496100521539,False,79.59748287535534,False,1
False,True,1,False,False,True,False,False,False,True,False,False,1937.4,True,25.7,False,0
False,True,0,True,True,False,False,False,True,False,False,True,72.4,False,42.6,False,1
False,True,0,True,True,False,False,True,False,False,False,True,792.0562344693526,False,74.47824899932078,False,1
False,True,0,False,True,False,True,False,True,False,False,True,91.64441977175927,False,91.64441977175927,False,1
False,False,0,True,False,False,False,False,False,True,True,False,5730.7,True,79.05,False,0
False,True,0,False,True,False,False,False,True,False,False,False,73.34271210705766,False,73.34271210705766,False,1
False,True,0,False,True,True,False,True,False,False,False,True,199.7430149071545,False,52.72319132921241,False,1
True,True,0,False,False,False,False,False,False,False,True,False,50.45,True,50.45,False,1
False,True,0,True,False,False,True,False,True,False,True,True,4822.85,False,105.2,True,1
True,False,0,False,False,False,True,True,True,False,False,False,61.9870462232823,False,61.9870462232823,False,1
False,True,0,True,False,False,True,False,True,True,False,True,5459.2,False,84.85,False,0
False,True,0,False,True,False,True,True,False,True,True,True,5873.75,True,103.2,False,0
True,True,0,False,False,False,True,False,False,False,False,False,117.05,False,54.35,False,0
True,False,0,False,False,False,True,True,False,True,True,True,2054.4,True,75.55,False,0
False,True,0,False,True,False,False,True,False,False,False,True,816.0007593092084,False,97.14792137100963,False,1
False,True,0,False,False,True,True,True,True,False,False,False,597.2179669025139,False,40.95584870126268,False,1
True,True,0,False,False,False,False,False,False,True,True,False,864.2,True,19.25,False,0
False,False,0,False,True,False,False,False,False,False,False,False,1343.4,False,20.55,True,0
False,True,0,False,True,False,False,True,True,False,True,True,5305.05,True,92.85,False,0
False,True,1,False,True,False,False,True,True,False,False,True,2745.2,True,95.9,False,1
False,True,0,True,False,True,True,False,True,False,False,False,4299.2,False,71.1,True,0
False,True,1,False,True,False,False,True,False,False,False,False,70.19211240816176,True,70.19211240816176,False,1
True,False,0,False,False,False,False,False,False,True,True,False,833.55,True,20.0,False,0
False,True,0,True,True,True,True,True,False,False,False,True,830.579900228721,False,97.68569879934189,False,1
False,True,0,False,False,False,False,True,True,False,False,False,4308.25,False,79.85,False,0
False,True,0,False,False,True,False,False,True,False,False,False,3973.2,False,88.15,False,0
True,True,0,False,True,False,False,True,True,False,False,False,679.6033058505619,False,47.305369697748,False,1
True,True,0,True,True,False,True,False,True,False,True,True,154.79218975055267,False,54.185923032161405,False,1
False,True,1,False,False,True,False,True,False,False,False,False,2619.25,False,81.1,False,0
False,True,0,False,False,False,False,True,False,False,False,False,322.5,False,44.65,False,0
False,True,1,False,False,True,False,False,True,False,False,True,442.85,False,99.8,False,1
False,True,0,False,True,False,True,True,True,False,False,True,3540.65,False,105.35,False,0
False,True,0,False,True,False,False,False,False,False,False,True,458.1,False,66.85,False,0
False,True,0,True,True,False,True,True,False,False,True,False,219.14293739141843,False,49.32234203953192,False,1
False,True,0,False,False,False,False,True,False,False,False,False,19.65,False,19.65,False,0
False,False,0,True,False,False,True,False,True,False,True,False,780.85,True,59.45,False,0
False,True,1,True,False,True,False,False,True,False,False,False,3230.800923703499,True,75.73981229273478,False,1
False,False,0,False,True,True,False,True,False,False,False,True,80.26106829834791,False,80.26106829834791,False,1
False,True,0,False,False,False,False,True,True,False,True,True,6373.1,True,89.55,False,0
False,True,0,True,True,False,False,True,False,False,False,True,1742.95,True,99.4,False,1
True,True,0,False,False,False,False,True,False,False,False,False,45.8,False,45.8,False,0
False,True,1,False,True,False,False,True,True,False,False,True,502.6,False,89.8,False,1
False,True,0,True,True,False,False,True,True,True,False,True,7880.25,True,109.65,False,0
False,True,0,False,True,False,True,True,False,False,False,True,719.4753430829202,False,54.79414318275265,True,1
False,True,0,False,True,False,True,True,True,False,False,False,4505.588305687663,False,94.26513900775089,False,1
True,False,0,False,False,False,False,False,False,False,False,False,3649.6,True,69.15,False,0
False,True,1,False,True,False,False,True,False,False,False,False,280.35,True,70.2,False,0
False,False,0,False,False,True,False,False,True,False,False,True,2433.5,True,89.9,False,0
False,False,0,False,False,False,False,True,False,False,False,False,488.65,False,69.15,False,0
False,False,0,False,False,False,False,False,False,True,True,False,717.95,True,20.25,False,0
False,False,0,False,True,False,False,True,False,False,False,True,667.7,True,46.35,False,1
False,True,0,False,False,False,False,False,True,False,True,True,1559.25,True,105.35,False,0
False,False,0,False,True,False,False,True,False,False,True,False,44.0,False,44.0,False,0
False,True,0,True,True,True,True,True,True,True,True,True,7534.61553747933,True,107.59399150068822,False,1
False,True,0,False,True,False,False,True,True,False,False,True,1218.187679142226,True,100.45955043428405,False,1
False,True,0,False,True,False,False,False,True,False,True,True,2368.8740799710845,True,96.68527953734656,False,1
False,True,0,True,False,True,True,False,True,True,False,True,5646.6,False,82.45,False,0
True,True,0,False,True,False,False,True,True,False,True,True,1159.869801460127,True,97.56108926790397,False,1
False,False,0,True,False,False,True,False,True,True,True,True,5824.75,True,80.85,False,0
False,True,0,True,False,False,False,False,True,True,False,True,6465.0,False,112.95,False,1
False,True,1,False,True,False,False,False,False,False,False,False,69.6,False,69.6,False,1
False,True,0,False,False,False,False,False,False,False,False,False,220.82851783215295,False,70.64795207908588,False,1
False,True,0,False,True,False,False,False,False,False,False,False,80.95,False,45.4,False,0
True,True,0,True,False,False,True,True,True,True,False,False,3766.2,True,61.35,False,0
False,True,0,True,False,True,True,False,False,False,True,False,1782.0,True,35.8,True,0
False,True,0,False,True,False,False,False,False,False,False,False,74.49806879112107,False,74.49806879112107,False,1
False,True,0,False,True,False,False,True,True,False,False,False,2146.5,False,85.75,False,0
True,False,0,False,False,False,False,False,False,False,False,False,86.35,False,24.6,False,0
False,True,0,False,True,False,False,True,False,False,False,False,79.95,False,79.95,False,1
False,True,0,False,True,False,False,True,False,False,False,True,50.35,True,50.35,False,1
False,True,0,False,True,False,False,True,True,True,False,True,7285.7,True,99.4,False,0
False,False,1,False,True,False,False,False,False,False,False,False,41.85,False,24.35,False,1
False,True,0,True,False,True,False,False,True,False,False,True,4786.15,True,79.7,True,0
False,True,0,False,True,False,False,False,True,False,False,True,3206.9252976632847,True,97.71874714710266,False,1
False,True,0,True,False,False,True,True,False,False,False,False,3321.35,False,49.35,True,0
False,True,0,True,False,True,False,True,True,True,True,True,5600.15,True,80.15,False,0
False,True,0,False,False,False,True,False,True,True,True,True,7711.45,True,109.2,False,0
False,True,1,False,True,False,False,False,True,False,False,True,3217.55,True,94.25,False,1
False,True,0,False,True,True,False,True,True,False,False,True,2106.5452306347665,False,93.14502603549036,False,1
True,False,0,True,False,False,True,False,False,True,False,False,1875.25,False,41.9,False,0
False,True,0,False,False,True,False,False,False,False,False,False,1815.65,False,69.05,False,0
False,False,1,True,False,True,False,True,False,False,False,False,5017.7,True,80.3,True,0
True,False,0,False,False,False,False,True,False,False,False,False,20.021358403418322,False,20.021358403418322,False,1
False,True,1,True,False,True,False,True,False,False,False,True,2555.05,False,48.8,False,0
False,True,0,False,True,True,False,True,False,False,False,True,620.3679685684945,True,86.79592202700834,False,1
False,False,0,True,False,False,True,True,True,True,True,False,5102.35,True,69.85,False,0
False,True,1,False,True,True,False,True,True,False,False,True,2484.581815919375,False,106.1172526574361,False,1
False,True,0,True,True,False,True,True,False,False,True,False,2569.232729070065,True,72.51327460871775,False,1
False,True,0,True,False,False,False,False,True,False,True,True,5435.6,True,93.4,False,1
True,True,0,True,False,False,False,False,True,False,True,False,1955.4,True,58.45,True,0
True,True,0,False,True,False,False,False,False,False,False,True,525.7146867153067,False,80.02244696205821,False,1
False,True,0,False,True,False,True,False,True,False,False,True,361.6193834141871,False,91.03929161250734,False,1
True,False,1,False,False,False,False,False,False,False,False,False,179.85,False,48.75,False,0
False,False,0,False,False,True,False,True,False,False,False,False,402.85,False,20.5,False,0
False,True,0,False,True,True,False,True,False,False,False,True,302.88661243465697,False,44.6914016399116,False,1
False,True,0,True,True,False,False,True,False,False,False,True,1417.4071118115955,True,73.11732400387037,False,1
False,True,0,True,True,False,False,True,True,False,False,True,4401.34102842547,True,105.10403966523737,False,1
False,True,0,False,True,False,False,False,False,False,False,False,756.0476430338085,False,83.45912792436485,False,1
False,True,0,False,True,False,False,True,False,False,False,True,1321.0491791876227,True,82.59722587858924,False,1
False,True,0,False,True,False,False,True,True,False,True,True,6989.45,True,105.4,True,0
False,False,0,False,False,True,False,True,False,False,True,False,19.85,True,19.85,True,0
False,True,0,False,True,False,False,False,False,False,False,True,85.0,False,85.0,False,1
True,False,0,True,False,False,True,False,True,True,True,True,2316.85,True,73.6,False,0
True,True,0,False,True,False,False,True,False,False,True,True,89.1997307326956,True,89.1997307326956,False,1
False,True,0,False,True,False,False,True,False,False,False,False,144.0,False,70.3,False,0
False,True,0,False,True,False,False,True,True,False,False,False,1059.024577242615,False,84.45,False,1
False,True,0,False,True,False,False,True,False,False,False,False,61.45,False,20.25,False,0
False,True,0,False,False,True,True,False,False,False,True,False,1264.2,False,79.5,True,0
True,False,0,False,False,False,False,True,False,False,False,False,424.5,False,23.75,True,0
False,True,0,False,True,False,False,True,False,False,False,False,45.61636756075144,False,45.61636756075144,False,1
False,True,0,False,True,False,True,False,False,False,False,True,1099.2411145362973,False,92.51229926479103,False,1
False,True,0,False,True,False,False,True,False,False,False,True,6125.4,False,96.75,True,1
True,True,0,False,True,False,True,False,False,False,False,False,413.9192051901654,False,73.67141595558476,False,1
False,False,0,False,True,False,False,False,False,False,False,False,76.0,False,76.0,False,1
False,True,0,False,False,False,False,True,False,False,False,False,1453.1,False,30.2,False,0
False,True,0,False,False,True,False,True,False,True,True,False,5420.65,True,79.2,False,0
False,True,0,False,True,False,True,False,True,True,True,True,7039.05,False,104.0,False,0
False,True,0,True,False,False,True,False,True,True,False,True,5515.8,True,79.6,False,0
False,False,0,False,False,True,False,True,False,False,False,False,2878.55,True,50.3,True,0
False,True,0,False,True,False,True,True,True,False,False,True,1845.670320522484,True,89.87568812703483,False,1
False,True,0,False,False,True,False,True,False,False,False,False,150.85,False,24.35,True,0
False,False,0,True,True,False,False,True,True,False,False,False,1254.7,False,59.0,False,1
False,True,0,False,False,True,False,False,True,False,False,True,2431.35,True,99.3,False,1
False,False,0,False,True,False,False,True,False,False,True,False,411.15,True,19.6,True,0
True,True,0,False,False,False,False,False,False,False,False,False,275.4,False,20.3,False,0
False,True,0,True,True,False,False,True,False,False,False,True,55.3752556416332,False,55.3752556416332,False,1
False,True,0,False,True,False,True,False,False,False,False,False,52.2,False,52.2,False,1
False,True,0,True,True,False,False,True,True,False,False,False,5238.9,True,96.75,False,1
False,True,1,True,False,False,False,True,True,False,False,False,825.1,True,54.55,False,0
False,True,0,False,False,False,False,False,False,False,False,False,507.9,True,20.2,True,0
True,False,0,False,False,False,False,True,False,False,False,False,19.2,False,19.2,False,0
False,False,0,True,False,False,True,False,False,False,False,False,3975.7,True,58.25,True,0
False,False,1,False,True,False,False,True,False,False,False,True,2283.3,True,55.8,True,0
False,True,0,False,True,False,False,True,True,False,True,False,131.91462909270027,True,27.891821724965663,False,1
True,True,0,False,False,False,True,True,True,False,False,True,1384.75,False,112.95,False,1
True,True,0,False,False,False,False,True,False,False,False,False,45.50124453680189,False,45.50124453680189,False,1
False,True,0,False,True,False,False,True,True,False,False,True,422.928297210901,True,89.90844849558849,False,1
True,True,0,True,False,False,False,True,False,False,False,True,244.85,False,86.05,False,0
False,False,0,True,True,False,False,False,False,False,False,True,2184.35,True,55.9,False,1
False,True,0,False,True,False,False,True,False,False,False,False,587.7930731030578,False,83.51083633975095,False,1
False,True,0,False,True,False,False,True,False,False,False,True,1901.5690524290121,True,83.0368324387709,False,1
False,True,0,False,False,True,False,False,False,False,False,True,1478.85,False,40.2,False,0
True,True,0,False,False,False,False,False,False,False,True,False,19.0,True,19.0,False,0
False,True,0,False,True,False,False,True,False,False,False,True,196.5352928568498,False,94.58586663731259,False,1
True,True,0,False,False,False,True,False,True,True,False,True,6034.85,True,100.05,False,0
False,True,0,False,True,False,False,True,True,False,False,True,3066.717620060328,False,96.8308638412105,True,1
False,True,0,False,True,False,False,True,False,False,False,True,79.65609576705599,False,79.65609576705599,False,1
True,True,0,False,True,False,False,False,True,False,True,True,408.29808270359433,True,84.05133069422844,False,1
False,True,0,False,True,True,True,False,True,False,False,True,1516.6956816328523,False,92.93571001447722,False,1
False,True,1,False,True,False,False,True,True,False,False,False,2122.05,False,81.45,False,1
False,True,0,False,True,False,False,False,False,False,False,False,123.8,False,70.15,False,0
False,False,0,False,False,True,False,False,False,False,False,False,43.95,False,43.95,False,0
False,True,0,False,True,True,True,False,True,False,True,True,1213.009868565291,True,92.51019518835108,False,1
False,True,0,False,True,False,False,True,True,False,False,True,2756.6186993622887,True,84.57156703583206,False,1
False,False,0,False,False,False,False,False,False,True,False,False,1128.1,False,19.85,False,0
False,True,0,False,True,False,True,True,False,False,True,True,527.5924919038564,True,50.27648512604853,False,1
False,True,1,False,False,True,False,False,False,False,True,False,864.85,True,78.1,False,0
False,True,1,False,True,False,False,False,True,False,False,True,1120.3,False,95.0,False,1
True,False,1,False,False,False,False,True,False,False,False,False,214.75,True,19.95,False,1
False,True,0,True,True,False,False,True,False,False,True,True,2172.329248758152,True,90.15059512106286,True,1
False,True,0,False,True,False,False,True,True,False,True,True,2448.75,False,95.9,False,1
False,True,0,False,True,False,False,True,False,False,False,False,316.9,False,69.7,False,1
False,False,0,False,False,True,False,True,False,False,False,False,75.35,True,75.35,False,0
False,True,0,False,True,False,False,True,False,False,False,False,589.8496553306336,False,85.21976956815021,False,1
False,True,0,True,False,False,True,False,True,True,False,True,8182.75,True,113.65,False,0
True,True,0,True,False,False,True,True,False,False,False,True,6880.85,True,108.5,True,0
True,False,0,False,False,False,False,False,False,True,False,False,1714.95,True,25.55,False,0
False,True,0,True,False,True,False,True,False,False,False,False,4392.5,True,66.15,True,0
True,True,0,False,False,False,False,False,False,False,False,False,20.083215172054633,False,20.083215172054633,False,1
False,True,0,False,False,False,True,False,True,True,True,True,4946.7,True,80.6,False,0
False,False,0,True,False,True,True,False,True,True,False,False,1524.85,False,71.05,False,0
False,True,0,False,False,False,True,True,True,True,False,True,7341.746630530574,True,106.93795431346106,False,1
True,False,0,False,False,False,False,False,False,False,False,True,85.8,False,85.8,False,1
False,False,0,False,True,False,False,True,False,False,False,False,1219.85,False,85.3,False,0
False,False,0,True,False,True,True,False,True,True,True,True,4421.95,True,85.5,False,0
False,True,0,False,True,False,False,False,True,False,False,False,612.1,True,51.25,False,0
False,True,0,False,True,True,False,False,False,False,False,False,916.2557340322875,True,70.30277311729296,False,1
False,True,1,False,True,False,False,False,True,False,False,True,6479.4,True,103.5,False,0
False,True,1,False,True,False,False,False,True,False,False,True,6979.8,True,106.25,True,1
True,True,0,False,False,False,False,True,False,False,False,False,25.0,False,25.0,False,0
False,True,0,False,False,False,False,True,False,False,False,True,5961.1,True,99.5,True,1
False,True,1,False,False,False,True,True,True,True,False,True,8022.85,True,111.65,False,0
False,True,0,False,True,True,False,False,False,False,False,True,1035.271145234358,False,69.91266527995779,False,1
False,False,0,False,False,True,False,True,False,True,False,False,1304.8,True,19.3,False,0
False,True,0,False,True,False,False,False,True,False,True,False,167.2,True,30.5,False,0
False,True,0,False,False,True,True,True,True,False,False,True,4063.6085544253024,True,91.22657584248462,True,1
False,True,1,False,False,False,False,False,True,False,True,True,2130.55,True,88.45,False,0
False,True,0,False,True,True,False,True,False,False,False,False,139.6102952273678,False,70.46885050277498,False,1
False,False,0,False,False,False,True,False,True,True,False,False,4326.25,True,64.1,False,0
True,False,0,True,False,False,False,False,False,False,True,False,992.7,False,57.65,False,0
False,False,0,False,False,False,True,True,True,False,True,False,4299.75,True,84.2,True,0
True,True,0,False,False,False,False,True,True,False,True,False,3141.7,False,81.85,False,0
False,True,0,False,False,False,False,False,False,True,True,False,861.85,True,24.1,False,0
False,True,0,True,True,False,False,True,True,False,False,True,4040.65,False,106.4,False,0
False,True,0,True,False,True,True,True,False,False,False,False,2333.05,True,72.8,True,0
False,True,0,False,True,False,False,True,True,False,False,True,1863.045549309947,True,80.86441919288883,False,1
False,True,0,False,False,False,False,False,False,False,True,True,4613.95,True,95.4,False,0
True,True,0,False,False,False,False,False,False,False,True,False,44.35057345788561,True,44.35057345788561,False,1
False,False,0,False,False,True,False,True,False,False,False,False,510.8,False,19.9,True,0
False,True,0,False,False,True,True,True,True,True,False,False,3753.2,True,60.15,False,0
False,False,0,False,False,False,True,False,True,True,False,True,4039.3,True,57.8,False,0
False,True,0,False,True,False,False,False,False,False,False,True,1422.1,False,88.45,False,1
True,True,0,False,True,False,True,True,True,False,False,False,607.6124800392523,False,73.87389569115487,False,1
True,False,0,False,False,False,False,True,False,False,False,False,46.3,False,46.3,False,1
True,True,0,False,False,False,True,True,False,False,True,False,49.74943849495506,False,49.74943849495506,False,1
False,False,0,False,False,False,False,False,False,True,True,False,224.5,True,20.3,False,0
False,False,0,False,True,False,True,False,False,False,False,False,1742.45,True,79.2,True,0
False,False,0,True,False,True,True,True,True,True,False,True,7049.75,False,109.2,False,0
False,True,0,True,False,True,True,False,True,True,True,True,6581.6282856616035,True,96.29735333447407,True,1
True,False,0,False,False,False,False,False,False,False,False,False,428.7,False,45.25,False,0
False,True,1,False,True,False,False,False,False,False,False,True,186.05,False,84.05,False,0
False,False,0,False,True,False,False,True,False,False,False,False,151.8,True,76.4,False,1
True,True,0,False,False,False,True,True,False,False,True,True,264.2511385497322,True,85.51996472177292,False,1
False,True,0,True,True,False,False,True,True,False,True,True,5443.551852330281,True,92.30550347139398,True,1
False,True,0,False,True,False,False,True,False,False,False,False,1707.4315652321732,False,74.8569950071538,False,1
False,False,0,False,False,False,False,True,False,False,True,False,958.45,False,25.45,True,0
False,False,0,False,False,True,False,True,False,True,False,False,1874.3,True,24.8,False,0
False,True,0,False,True,False,False,True,False,False,False,True,93.6000170177569,False,93.6000170177569,False,1
False,True,0,False,False,False,True,True,True,False,False,True,7953.25,True,113.15,True,0
False,True,0,False,False,True,True,True,False,False,False,True,2019.8,True,66.4,False,0
False,False,0,False,False,True,False,True,False,False,False,False,2958.95,False,68.85,False,0
False,True,0,False,True,False,False,True,False,False,False,True,2254.2,False,83.95,False,1
True,False,0,True,True,False,True,True,False,False,True,False,220.71340989469192,False,46.73345196963965,False,1
True,False,0,False,True,False,False,True,False,False,False,False,89.30658984333664,False,45.33221515800797,False,1
False,True,0,False,True,False,False,True,False,False,False,True,635.6,False,93.85,False,1
True,True,0,False,False,False,False,False,False,False,False,False,25.56353686677471,False,25.56353686677471,False,1
False,True,0,True,False,True,True,True,True,True,True,True,4478.85,True,65.25,False,0
False,True,1,True,False,False,True,False,False,False,False,True,7111.3,False,108.95,False,0
False,False,1,False,True,False,False,True,True,False,False,True,3413.25,False,90.7,False,0
True,True,0,False,False,False,False,True,False,False,True,False,19.45,False,19.45,False,1
False,True,0,False,True,False,False,True,False,False,False,False,597.9,False,70.5,False,0
False,True,1,True,False,True,False,True,True,False,False,False,5785.65,True,84.9,False,0
False,True,0,False,False,False,False,True,True,False,False,False,2265.25,True,80.15,False,1
