paperless_billing_Yes,senior_citizen,online_security_Yes,total_charges,payment_method_Electronic check,partner_Yes,tech_support_Yes,monthly_charges,type_One year,type_Two year,churn
True,1,False,442.85,False,False,False,99.8,False,False,1
True,0,False,3540.65,True,False,True,105.35,False,False,0
True,0,False,458.1,True,False,False,66.85,False,False,0
True,0,True,219.14293739141843,True,False,True,49.32234203953192,False,False,1
True,0,False,19.65,False,False,False,19.65,False,False,0
False,0,True,780.85,False,True,True,59.45,False,False,0
True,1,True,3230.800923703499,False,True,False,75.73981229273478,False,False,1
False,0,False,80.26106829834791,True,False,False,80.26106829834791,False,False,1
True,0,False,6373.1,False,True,False,89.55,False,False,0
True,0,True,1742.95,True,True,False,99.4,False,False,1
True,0,False,45.8,False,False,False,45.8,False,False,0
True,1,False,502.6,True,False,False,89.8,False,False,1
True,0,True,7880.25,True,True,False,109.65,False,True,0
True,0,False,719.4753430829202,True,False,True,54.79414318275265,True,False,1
True,0,False,4505.588305687663,True,False,True,94.26513900775089,False,False,1
False,0,False,3649.6,False,True,False,69.15,False,False,0
True,1,False,280.35,True,True,False,70.2,False,False,0
False,0,False,2433.5,False,True,False,89.9,False,False,0
False,0,False,488.65,False,False,False,69.15,False,False,0
False,0,False,717.95,False,True,False,20.25,False,True,0
False,0,False,667.7,True,True,False,46.35,False,False,1
True,0,False,1559.25,False,True,False,105.35,False,False,0
False,0,False,44.0,True,False,False,44.0,False,False,0
True,0,True,7534.61553747933,True,True,True,107.59399150068822,False,True,1
True,0,False,1218.187679142226,True,True,False,100.45955043428405,False,False,1
True,0,False,2368.8740799710845,True,True,False,96.68527953734656,False,False,1
True,0,True,5646.6,False,False,True,82.45,False,True,0
True,0,False,1159.869801460127,True,True,False,97.56108926790397,False,False,1
False,0,True,5824.75,False,True,True,80.85,False,True,0
True,0,True,6465.0,False,False,False,112.95,False,True,1
True,1,False,69.6,True,False,False,69.6,False,False,1
True,0,False,220.82851783215295,False,False,False,70.64795207908588,False,False,1
True,0,False,80.95,True,False,False,45.4,False,False,0
True,0,True,3766.2,False,True,True,61.35,False,True,0
True,0,True,1782.0,False,True,True,35.8,True,False,0
True,0,False,74.49806879112107,True,False,False,74.49806879112107,False,False,1
True,0,False,2146.5,True,False,False,85.75,False,False,0
False,0,False,86.35,False,False,False,24.6,False,False,0
True,0,False,79.95,True,False,False,79.95,False,False,1
True,0,False,50.35,True,True,False,50.35,False,False,1
True,0,False,7285.7,True,True,False,99.4,False,True,0
False,1,False,41.85,True,False,False,24.35,False,False,1
True,0,True,4786.15,False,True,False,79.7,True,False,0
True,0,False,3206.9252976632847,True,True,False,97.71874714710266,False,False,1
True,0,True,3321.35,False,False,True,49.35,True,False,0
True,0,True,5600.15,False,True,False,80.15,False,True,0
True,0,False,7711.45,False,True,True,109.2,False,True,0
True,1,False,3217.55,True,True,False,94.25,False,False,1
True,0,False,2106.5452306347665,True,False,False,93.14502603549036,False,False,1
False,0,True,1875.25,False,False,True,41.9,False,True,0
True,0,False,1815.65,False,False,False,69.05,False,False,0
False,1,True,5017.7,False,True,False,80.3,True,False,0
False,0,False,20.021358403418322,False,False,False,20.021358403418322,False,False,1
True,1,True,2555.05,False,False,False,48.8,False,False,0
True,0,False,620.3679685684945,True,True,False,86.79592202700834,False,False,1
False,0,True,5102.35,False,True,True,69.85,False,True,0
True,1,False,2484.581815919375,True,False,False,106.1172526574361,False,False,1
True,0,True,2569.232729070065,True,True,True,72.51327460871775,False,False,1
True,0,True,5435.6,False,True,False,93.4,False,False,1
True,0,True,1955.4,False,True,False,58.45,True,False,0
True,0,False,525.7146867153067,True,False,False,80.02244696205821,False,False,1
True,0,False,361.6193834141871,True,False,True,91.03929161250734,False,False,1
False,1,False,179.85,False,False,False,48.75,False,False,0
False,0,False,402.85,False,False,False,20.5,False,False,0
True,0,False,302.88661243465697,True,False,False,44.6914016399116,False,False,1
True,0,True,1417.4071118115955,True,True,False,73.11732400387037,False,False,1
True,0,True,4401.34102842547,True,True,False,105.10403966523737,False,False,1
True,0,False,756.0476430338085,True,False,False,83.45912792436485,False,False,1
True,0,False,1321.0491791876227,True,True,False,82.59722587858924,False,False,1
True,0,False,6989.45,True,True,False,105.4,True,False,0
False,0,False,19.85,False,True,False,19.85,True,False,0
True,0,False,85.0,True,False,False,85.0,False,False,1
False,0,True,2316.85,False,True,True,73.6,False,True,0
True,0,False,89.1997307326956,True,True,False,89.1997307326956,False,False,1
True,0,False,144.0,True,False,False,70.3,False,False,0
True,0,False,1059.024577242615,True,False,False,84.45,False,False,1
True,0,False,61.45,True,False,False,20.25,False,False,0
True,0,False,1264.2,False,False,True,79.5,True,False,0
False,0,False,424.5,False,False,False,23.75,True,False,0
True,0,False,45.61636756075144,True,False,False,45.61636756075144,False,False,1
True,0,False,1099.2411145362973,True,False,True,92.51229926479103,False,False,1
True,0,False,6125.4,True,False,False,96.75,True,False,1
True,0,False,413.9192051901654,True,False,True,73.67141595558476,False,False,1
False,0,False,76.0,True,False,False,76.0,False,False,1
True,0,False,1453.1,False,False,False,30.2,False,False,0
True,0,False,5420.65,False,True,False,79.2,False,True,0
True,0,False,7039.05,True,False,True,104.0,False,True,0
True,0,True,5515.8,False,True,True,79.6,False,True,0
False,0,False,2878.55,False,True,False,50.3,True,False,0
True,0,False,1845.670320522484,True,True,True,89.87568812703483,False,False,1
True,0,False,150.85,False,False,False,24.35,True,False,0
False,0,True,1254.7,True,False,False,59.0,False,False,1
True,0,False,2431.35,False,True,False,99.3,False,False,1
False,0,False,411.15,True,True,False,19.6,True,False,0
True,0,False,275.4,False,False,False,20.3,False,False,0
True,0,True,55.3752556416332,True,False,False,55.3752556416332,False,False,1
True,0,False,52.2,True,False,True,52.2,False,False,1
True,0,True,5238.9,True,True,False,96.75,False,False,1
True,1,True,825.1,False,True,False,54.55,False,False,0
True,0,False,507.9,False,True,False,20.2,True,False,0
False,0,False,19.2,False,False,False,19.2,False,False,0
False,0,True,3975.7,False,True,True,58.25,True,False,0
False,1,False,2283.3,True,True,False,55.8,True,False,0
True,0,False,131.91462909270027,True,True,False,27.891821724965663,False,False,1
True,0,False,1384.75,False,False,True,112.95,False,False,1
True,0,False,45.50124453680189,False,False,False,45.50124453680189,False,False,1
True,0,False,422.928297210901,True,True,False,89.90844849558849,False,False,1
True,0,True,244.85,False,False,False,86.05,False,False,0
False,0,True,2184.35,True,True,False,55.9,False,False,1
True,0,False,587.7930731030578,True,False,False,83.51083633975095,False,False,1
True,0,False,1901.5690524290121,True,True,False,83.0368324387709,False,False,1
True,0,False,1478.85,False,False,False,40.2,False,False,0
True,0,False,19.0,False,True,False,19.0,False,False,0
True,0,False,196.5352928568498,True,False,False,94.58586663731259,False,False,1
True,0,False,6034.85,False,True,True,100.05,False,True,0
True,0,False,3066.717620060328,True,False,False,96.8308638412105,True,False,1
True,0,False,79.65609576705599,True,False,False,79.65609576705599,False,False,1
True,0,False,408.29808270359433,True,True,False,84.05133069422844,False,False,1
True,0,False,1516.6956816328523,True,False,True,92.93571001447722,False,False,1
True,1,False,2122.05,True,False,False,81.45,False,False,1
True,0,False,123.8,True,False,False,70.15,False,False,0
False,0,False,43.95,False,False,False,43.95,False,False,0
True,0,False,1213.009868565291,True,True,True,92.51019518835108,False,False,1
True,0,False,2756.6186993622887,True,True,False,84.57156703583206,False,False,1
False,0,False,1128.1,False,False,False,19.85,False,True,0
True,0,False,527.5924919038564,True,True,True,50.27648512604853,False,False,1
True,1,False,864.85,False,True,False,78.1,False,False,0
True,1,False,1120.3,True,False,False,95.0,False,False,1
False,1,False,214.75,False,True,False,19.95,False,False,1
True,0,True,2172.329248758152,True,True,False,90.15059512106286,True,False,1
True,0,False,2448.75,True,False,False,95.9,False,False,1
True,0,False,316.9,True,False,False,69.7,False,False,1
False,0,False,75.35,False,True,False,75.35,False,False,0
True,0,False,589.8496553306336,True,False,False,85.21976956815021,False,False,1
True,0,True,8182.75,False,True,True,113.65,False,True,0
True,0,True,6880.85,False,True,True,108.5,True,False,0
False,0,False,1714.95,False,True,False,25.55,False,True,0
True,0,True,4392.5,False,True,False,66.15,True,False,0
True,0,False,20.083215172054633,False,False,False,20.083215172054633,False,False,1
True,0,False,4946.7,False,True,True,80.6,False,True,0
False,0,True,1524.85,False,False,True,71.05,False,True,0
True,0,False,7341.746630530574,False,True,True,106.93795431346106,False,True,1
False,0,False,85.8,False,False,False,85.8,False,False,1
False,0,False,1219.85,True,False,False,85.3,False,False,0
False,0,True,4421.95,False,True,True,85.5,False,True,0
True,0,False,612.1,True,True,False,51.25,False,False,0
True,0,False,916.2557340322875,True,True,False,70.30277311729296,False,False,1
True,1,False,6479.4,True,True,False,103.5,False,False,0
True,1,False,6979.8,True,True,False,106.25,True,False,1
True,0,False,25.0,False,False,False,25.0,False,False,0
True,0,False,5961.1,False,True,False,99.5,True,False,1
True,1,False,8022.85,False,True,True,111.65,False,True,0
True,0,False,1035.271145234358,True,False,False,69.91266527995779,False,False,1
False,0,False,1304.8,False,True,False,19.3,False,True,0
True,0,False,167.2,True,True,False,30.5,False,False,0
True,0,False,4063.6085544253024,False,True,True,91.22657584248462,True,False,1
True,1,False,2130.55,False,True,False,88.45,False,False,0
True,0,False,139.6102952273678,True,False,False,70.46885050277498,False,False,1
False,0,False,4326.25,False,True,True,64.1,False,True,0
False,0,True,992.7,False,False,False,57.65,False,False,0
False,0,False,4299.75,False,True,True,84.2,True,False,0
True,0,False,3141.7,False,False,False,81.85,False,False,0
True,0,False,861.85,False,True,False,24.1,False,True,0
True,0,True,4040.65,True,False,False,106.4,False,False,0
True,0,True,2333.05,False,True,True,72.8,True,False,0
True,0,False,1863.045549309947,True,True,False,80.86441919288883,False,False,1
True,0,False,4613.95,False,True,False,95.4,False,False,0
True,0,False,44.35057345788561,False,True,False,44.35057345788561,False,False,1
False,0,False,510.8,False,False,False,19.9,True,False,0
True,0,False,3753.2,False,True,True,60.15,False,True,0
False,0,False,4039.3,False,True,True,57.8,False,True,0
True,0,False,1422.1,True,False,False,88.45,False,False,1
True,0,False,607.6124800392523,True,False,True,73.87389569115487,False,False,1
False,0,False,46.3,False,False,False,46.3,False,False,1
True,0,False,49.74943849495506,False,False,True,49.74943849495506,False,False,1
False,0,False,224.5,False,True,False,20.3,False,True,0
False,0,False,1742.45,True,True,True,79.2,True,False,0
False,0,True,7049.75,False,False,True,109.2,False,True,0
True,0,True,6581.6282856616035,False,True,True,96.29735333447407,True,True,1
False,0,False,428.7,False,False,False,45.25,False,False,0
True,1,False,186.05,True,False,False,84.05,False,False,0
False,0,False,151.8,True,True,False,76.4,False,False,1
True,0,False,264.2511385497322,False,True,True,85.51996472177292,False,False,1
True,0,True,5443.551852330281,True,True,False,92.30550347139398,True,False,1
True,0,False,1707.4315652321732,True,False,False,74.8569950071538,False,False,1
False,0,False,958.45,False,False,False,25.45,True,False,0
False,0,False,1874.3,False,True,False,24.8,False,True,0
True,0,False,93.6000170177569,True,False,False,93.6000170177569,False,False,1
True,0,False,7953.25,False,True,True,113.15,True,False,0
True,0,False,2019.8,False,True,True,66.4,False,False,0
False,0,False,2958.95,False,False,False,68.85,False,False,0
True,0,False,2254.2,True,False,False,83.95,False,False,1
False,0,True,220.71340989469192,True,False,True,46.73345196963965,False,False,1
False,0,False,89.30658984333664,True,False,False,45.33221515800797,False,False,1
True,0,False,635.6,True,False,False,93.85,False,False,1
True,0,False,25.56353686677471,False,False,False,25.56353686677471,False,False,1
True,0,True,4478.85,False,True,True,65.25,False,True,0
True,1,True,7111.3,False,False,True,108.95,False,False,0
False,1,False,3413.25,True,False,False,90.7,False,False,0
True,0,False,19.45,False,False,False,19.45,False,False,1
True,0,False,597.9,True,False,False,70.5,False,False,0
True,1,True,5785.65,False,True,False,84.9,False,False,0
True,0,False,2265.25,False,True,False,80.15,False,False,1
True,0,False,80.46116487690477,True,True,False,80.46116487690477,False,False,1
False,0,False,35.05,False,False,False,35.05,False,False,1
True,0,True,1971.1691282482327,True,False,False,74.07949461695787,False,False,1
True,1,False,3174.302819311812,True,True,False,88.59855968989163,False,False,1
False,0,False,19.641862030707063,False,False,False,19.641862030707063,False,False,1
True,0,False,1623.15,False,True,False,23.3,True,False,0
True,1,True,7610.1,False,True,True,110.55,True,False,0
True,0,True,3754.6,True,True,True,99.2,True,False,1
True,0,False,69.87020613134383,True,False,False,69.87020613134383,False,False,1
True,0,True,5129.3,False,True,True,81.3,False,True,0
True,1,False,343.95,False,True,False,79.9,False,False,1
True,0,False,20.2,False,False,False,20.2,False,False,1
True,0,False,5515.45,False,True,False,99.8,True,False,0
False,0,False,1611.65,True,False,True,59.45,False,False,0
True,0,False,2184.6,True,False,True,85.2,True,False,0
True,0,True,4162.05,False,True,False,104.45,True,False,0
True,0,False,6127.1124397087015,True,False,False,97.21501595538032,True,False,1
True,0,False,800.8234380954704,True,False,False,77.49873855240315,False,False,1
True,0,False,673.25,True,False,False,99.8,False,False,1
False,0,False,45.8,True,False,False,45.8,False,False,1
True,0,False,317.25,True,False,False,79.15,False,False,1
True,0,True,7616.0,False,True,True,108.55,False,True,0
True,0,False,70.6,False,False,False,70.6,False,False,0
True,0,False,5364.8,True,False,False,103.05,False,False,0
True,0,False,50.463568542534496,True,False,False,50.463568542534496,False,False,1
True,0,True,5616.854491085985,True,True,True,100.03846977470153,True,False,1
True,0,False,4144.9,True,False,False,73.1,False,False,0
True,0,False,2597.2697596805556,False,False,False,72.70474424999976,True,False,1
True,0,True,7723.9,False,True,True,114.2,False,True,1
False,0,True,4575.35,False,True,True,65.7,False,True,0
True,0,False,2531.4,True,True,True,79.15,True,False,0
True,0,False,5293.20505825458,False,True,True,107.73316948701355,True,True,1
False,0,False,99.6,True,False,False,19.55,True,False,0
True,0,False,1208.35,False,True,True,89.65,False,False,1
True,0,False,1230.9,False,True,False,24.05,False,True,0
False,0,False,62.0,False,False,False,24.85,False,False,0
False,0,False,1218.45,False,True,False,20.65,False,True,0
True,0,True,95.03270196358078,True,True,False,95.03270196358078,False,False,1
True,0,False,86.36621694386908,True,False,False,86.36621694386908,False,False,1
True,0,True,7365.7,True,False,True,118.6,True,False,0
True,0,True,1139.156276264596,True,False,False,65.15481608830726,False,False,1
True,0,False,937.5,False,False,False,55.85,True,False,1
True,0,False,1715.65,True,False,True,55.25,False,False,1
False,0,True,5598.3,False,True,False,84.8,True,False,0
False,0,False,181.8,False,False,False,20.4,False,False,0
True,0,True,355.0749570011748,True,True,True,62.282673985490845,False,False,1
True,0,False,393.45,False,True,False,49.55,False,False,0
False,0,True,123.05,False,False,False,50.95,False,False,0
False,1,False,2838.55,False,True,False,51.65,False,False,0
True,0,False,1444.65,True,False,False,93.35,False,False,1
True,0,True,4719.75,False,True,True,64.8,False,True,0
True,0,False,130.66886746067348,True,False,False,41.53502163269614,False,False,1
True,0,False,450.5312167400302,True,False,True,66.80784552044267,False,False,1
True,0,False,913.2725731020336,True,True,False,84.6082813999393,False,False,1
True,0,False,815.3678664927068,True,True,False,75.80286172889278,False,False,1
True,0,False,66.32802891676214,True,False,False,24.305117905739582,False,False,1
True,0,False,55.0,False,False,False,55.0,False,False,1
False,0,True,202.25,False,False,True,48.25,False,False,0
False,0,True,1199.4,False,False,False,69.5,False,False,0
True,1,False,70.08061607933608,True,True,False,70.08061607933608,False,False,1
False,1,False,548.8,False,True,False,25.6,True,False,0
False,0,False,545.0393748984868,False,False,False,73.91593765226976,False,False,1
True,0,False,4542.35,False,True,True,75.95,False,True,0
False,0,False,770.5,True,False,True,86.25,False,False,0
False,0,False,320.4,False,True,False,69.95,False,False,0
True,0,True,5275.844298753481,True,True,False,103.85648294493714,False,False,1
True,0,False,4003.022486316857,True,False,False,98.03479100966389,False,False,1
True,0,False,85.52374137748679,False,False,False,85.52374137748679,False,False,1
False,0,False,1174.8,True,True,False,24.9,True,False,0
True,0,True,2188.45,False,True,True,44.45,True,False,0
True,0,False,59.52769130390939,True,False,False,19.637051449348434,False,False,1
True,0,False,827.45,False,False,True,95.9,False,False,0
True,0,False,313.0,False,True,False,25.4,False,True,0
True,0,False,484.05,True,False,False,50.1,False,False,0
True,0,False,5662.25,False,True,True,80.45,False,True,0
True,0,False,165.33305216195848,True,False,False,85.23060632867431,False,False,1
True,0,True,5276.1,True,True,False,94.75,True,False,0
False,1,False,434.1,True,False,False,74.4,False,False,1
True,0,False,318.6,True,False,True,107.95,False,False,0
True,0,True,524.5,False,False,False,51.65,False,False,0
False,0,True,938.65,False,True,False,30.4,True,False,0
False,0,False,221.7,False,False,False,46.0,False,False,1
True,0,False,51.73893981071054,True,False,True,51.73893981071054,False,False,1
True,0,True,5388.15,False,True,True,75.75,False,True,0
True,0,False,109.25,False,False,True,50.2,False,False,0
True,1,False,6851.65,True,True,False,100.2,False,False,1
False,0,False,826.0,False,False,False,20.15,False,True,0
True,0,False,5941.05,True,False,False,99.65,False,True,0
True,1,False,560.6,True,False,False,98.25,False,False,1
True,0,False,74.87975346208296,True,False,False,74.87975346208296,False,False,1
True,0,False,475.9676091624982,True,False,False,86.93128255129045,False,False,1
True,0,False,4853.75,False,True,False,99.05,False,False,1
True,0,True,3197.0493505919317,True,True,False,99.7189033201793,False,False,1
False,0,False,220.75,False,False,False,44.55,False,False,0
True,0,True,4445.3,True,False,True,95.4,False,False,0
True,0,True,4035.8664739324713,False,True,False,83.70278016737058,True,False,1
True,0,False,1258.6,True,True,False,87.25,False,False,1
False,0,False,641.15,False,True,False,19.4,False,False,0
True,0,False,2122.45,True,False,True,96.0,False,False,1
False,0,False,20.9,False,False,False,20.9,False,False,0
True,0,False,824.8920420254912,True,True,False,74.60980716862787,False,False,1
True,0,False,329.95,True,False,False,100.95,False,False,1
True,0,True,503.21219194616356,True,True,True,78.54416349071704,False,False,1
True,0,False,1234.8,False,True,False,19.95,False,True,0
True,0,True,7138.65,False,False,True,110.0,True,False,0
True,0,True,4126.2,False,False,True,81.15,True,False,0
True,0,False,470.7482821884051,True,True,True,83.84683629930038,False,False,1
False,0,True,107.25,False,False,True,41.35,False,False,0
False,0,False,639.45,True,True,False,46.3,False,False,0
True,0,False,1211.922399406454,True,True,True,91.8427141184441,False,False,1
False,0,True,3237.05,True,False,False,53.6,False,True,0
True,0,False,70.18332196743057,True,False,False,70.18332196743057,False,False,1
True,0,True,3009.5669785250025,True,True,False,64.47750142806441,True,False,1
True,0,False,88.64600437518484,True,False,False,88.64600437518484,False,False,1
True,1,False,74.2,True,False,False,74.2,False,False,1
False,0,True,7008.15,False,True,True,115.1,False,True,0
True,0,False,4990.25,False,True,True,96.25,False,True,1
False,0,True,632.95,True,True,False,75.0,False,False,1
True,0,False,305.55,False,False,False,72.2,False,False,1
True,0,False,2193.0,True,False,False,80.7,False,False,0
False,0,False,79.7097000992346,True,False,False,79.7097000992346,False,False,1
False,0,True,5708.2,False,False,True,80.6,False,True,0
True,0,False,3184.25,True,True,True,60.45,True,False,1
True,0,False,63.795073161065716,False,False,False,19.810680893805507,False,False,1
False,0,False,231.94715769548617,False,True,False,19.324626289521788,True,False,1
True,0,False,1652.1,False,True,True,69.5,False,False,0
False,1,False,5044.8,True,True,True,90.45,False,False,0
True,0,False,3627.3,True,False,True,64.2,True,False,0
False,0,False,1601.6474000479916,False,True,True,35.79460230716605,True,False,1
True,0,False,886.4,False,True,False,20.0,False,True,0
True,0,False,44.3,False,False,False,44.3,False,False,0
True,0,False,2561.963750477977,True,True,True,104.89341476687706,False,False,1
True,0,True,7875.0,False,True,True,108.95,False,True,0
True,0,False,220.4,False,False,False,70.3,False,False,0
True,0,False,146.05,True,False,False,80.2,False,False,1
True,0,True,4391.45,True,True,False,96.1,True,False,0
True,0,True,81.97984794527974,True,False,False,81.97984794527974,False,False,1
True,0,False,363.6087562149276,True,True,True,92.68556281324499,False,False,1
True,0,True,4997.5,False,True,False,105.25,False,False,0
True,0,False,6597.25,False,True,False,104.8,False,True,0
True,0,False,2387.75,True,False,False,100.25,False,False,1
True,0,False,1100.2181727863733,True,False,True,81.70041844877382,False,False,1
